customer_id,first_name,last_name,email,phone,city,state,country,postal_code,segment,registration_date,is_active
1001,Isaac,Bakshi,isaac.bakshi291@hotmail.com,03321819600,Delhi,North Province,India,338908,Regular,2026-02-27,True
1002,Rushil,Saini,rushil.saini923@gmail.com,09402654235,Gurugram,North Province,India,161559,Premium,2026-02-25,True
1003,Aishani,Bassi,aishani.bassi233@hotmail.com,08161849593,Delhi,North Province,India,034131,Regular,2022-07-11,True
1004,Lajita,Mall,lajita.mall675@yahoo.com,5255341928,Indore,Central Province,India,276483,VIP,2026-01-06,True
1005,Ekta,Bhalla,ekta.bhalla838@gmail.com,+915641395376,Ranchi,East Province,India,242388,Occasional,2023-07-24,True
1006,Adya,Sangha,adya.sangha358@hotmail.com,05328710122,Mysuru,South Province,India,916697,Regular,2024-05-15,True
1007,Zayan,Apte,zayan.apte399@hotmail.com,1845146270,Mumbai,West Province,India,828148,Regular,2022-07-09,True
1008,Rushil,Dua,rushil.dua757@yahoo.com,+918809570154,Raipur,Central Province,India,039117,Premium,2022-03-30,True
1009,Ekapad,Walia,ekapad.walia310@gmail.com,+917824896383,Kolkata,East Province,India,657871,Corporate,2025-02-04,True
1010,Yug,Kar,yug.kar731@gmail.com,00983930103,Goa,West Province,India,051834,Regular,2023-01-29,True
1011,Vedika,Kala,vedika.kala897@hotmail.com,+919973763116,Mumbai,West Province,India,667010,Regular,2023-04-22,True
1012,Neha,Nori,neha.nori373@gmail.com,+913387262473,Pune,West Province,India,781080,Regular,2024-01-29,True
1013,Girik,Khalsa,girik.khalsa185@gmail.com,07736026064,Noida,North Province,India,468723,Premium,2025-07-24,True
1014,Chaman,Kalla,chaman.kalla957@gmail.com,8050097882,Guwahati,East Province,India,812191,Premium,2023-07-07,True
1015,Wahab,Raval,wahab.raval851@gmail.com,3990916998,Mumbai,West Province,India,435346,Regular,2023-04-15,True
1016,Karan,Mital,karan.mital945@yahoo.com,01079911838,Mumbai,West Province,India,251354,Occasional,2023-03-09,True
1017,Nakul,Sarma,nakul.sarma521@hotmail.com,4980841241,Pune,West Province,India,824493,Regular,2025-09-04,True
1018,Hemal,Jani,hemal.jani152@hotmail.com,4874016400,Bhubaneswar,East Province,India,242786,Regular,2023-06-27,True
1019,Aditya,Choudhury,aditya.choudhury448@gmail.com,2805982620,Nagpur,West Province,India,505331,Occasional,2025-04-12,True
1020,Irya,Ray,irya.ray515@hotmail.com,2322602563,Chennai,South Province,India,216073,Regular,2024-11-09,True
1021,Ryan,Sharma,ryan.sharma173@yahoo.com,03303654145,Jaipur,North Province,India,850142,VIP,2025-07-09,True
1022,Alka,Barad,alka.barad620@gmail.com,6556981693,Chandigarh,North Province,India,060883,Occasional,2024-02-21,True
1023,Januja,Sankar,januja.sankar748@gmail.com,5951484656,Bhopal,Central Province,India,823662,Regular,2025-10-25,True
1024,Charvi,Ravi,charvi.ravi124@hotmail.com,+914436995777,Nagpur,West Province,India,872148,Regular,2023-11-28,True
1025,Gautami,Chander,gautami.chander279@gmail.com,4332003791,Gurugram,North Province,India,693676,Occasional,2026-01-13,True
1026,Yagnesh,Divan,yagnesh.divan315@hotmail.com,0163287083,Bhopal,Central Province,India,727889,Corporate,2025-07-04,True
1027,Edhitha,Savant,edhitha.savant790@hotmail.com,8687277434,Chennai,South Province,India,347143,Regular,2024-02-05,False
1028,Anita,Nayak,anita.nayak341@yahoo.com,1223623166,Bhopal,Central Province,India,876036,Premium,2025-05-11,True
1029,Lopa,Bahri,lopa.bahri69@hotmail.com,07054668893,Ahmedabad,West Province,India,346706,Regular,2023-05-06,True
1030,Gayathri,Ravel,gayathri.ravel507@hotmail.com,+917298069901,Delhi,North Province,India,272046,Corporate,2026-02-07,False
1031,Falak,Kakar,falak.kakar685@yahoo.com,05646417080,Indore,Central Province,India,310033,Premium,2022-09-20,True
1032,Anmol,Dua,anmol.dua443@gmail.com,+917193745299,Goa,West Province,India,241904,Occasional,2025-05-27,False
1033,Keya,Ranganathan,keya.ranganathan418@hotmail.com,+911931491905,Mysuru,South Province,India,518506,Occasional,2023-10-01,True
1034,Vrishti,Cherian,vrishti.cherian133@yahoo.com,07262849877,Ranchi,East Province,India,945314,Regular,2024-07-13,True
1035,Shravya,Kohli,shravya.kohli245@yahoo.com,9650752735,Noida,North Province,India,549480,Premium,2025-02-08,True
1036,Zansi,Halder,zansi.halder937@gmail.com,+916783777014,Jaipur,North Province,India,634957,Regular,2022-05-19,True
1037,Hemangini,Sandal,hemangini.sandal695@hotmail.com,5574443135,Indore,Central Province,India,823374,Premium,2023-07-25,True
1038,Barkha,Chaudhry,barkha.chaudhry258@gmail.com,03524082400,Gwalior,Central Province,India,271094,VIP,2024-08-26,True
1039,Upasna,Srinivas,upasna.srinivas684@yahoo.com,02047116719,Bengaluru,South Province,India,229413,Regular,2022-07-18,True
1040,Jagat,Saha,jagat.saha699@hotmail.com,9386774964,Siliguri,East Province,India,913341,Premium,2022-04-21,True
1041,Naksh,Khatri,naksh.khatri357@gmail.com,1206797403,Chandigarh,North Province,India,471349,Corporate,2026-01-31,True
1042,Rudra,Sandal,rudra.sandal469@gmail.com,3242102499,Chennai,South Province,India,717464,Regular,2025-01-03,True
1043,Xiti,Zacharia,xiti.zacharia463@yahoo.com,01906594013,Bhubaneswar,East Province,India,490278,Corporate,2022-06-04,True
1044,Riya,Mall,riya.mall563@gmail.com,6717565512,Delhi,North Province,India,674680,Corporate,2025-08-28,False
1045,Suhani,Chakrabarti,suhani.chakrabarti507@yahoo.com,05168087603,Chennai,South Province,India,977034,Premium,2024-04-12,True
1046,Karan,Mani,karan.mani12@yahoo.com,7109324808,Jaipur,North Province,India,131712,Occasional,2024-02-16,True
1047,Wishi,Manne,wishi.manne723@hotmail.com,4677378263,Patna,East Province,India,146584,Occasional,2024-05-16,False
1048,Aarnav,Mandal,aarnav.mandal508@hotmail.com,09972787558,Ujjain,Central Province,India,753396,Regular,2026-01-11,True
1049,Vivaan,Roy,vivaan.roy565@gmail.com,07662702895,Noida,North Province,India,718702,Regular,2026-02-15,True
1050,Nimrat,Dubey,nimrat.dubey524@gmail.com,04596158657,Noida,North Province,India,913431,Occasional,2024-09-03,True
1051,Radha,Chaudhari,radha.chaudhari881@hotmail.com,1724005045,Noida,North Province,India,623869,Regular,2022-06-14,True
1052,Pranit,Garde,pranit.garde974@gmail.com,+919693792374,Kochi,South Province,India,407482,Occasional,2022-09-03,True
1053,Ethan,Sathe,ethan.sathe93@yahoo.com,4647436713,Bhopal,Central Province,India,959440,Regular,2025-06-22,True
1054,Meghana,Maharaj,meghana.maharaj219@gmail.com,0974395339,Raipur,Central Province,India,210470,Premium,2023-06-19,True
1055,Janya,Deep,janya.deep697@gmail.com,05623285884,Surat,West Province,India,474517,Premium,2022-09-26,True
1056,Faqid,Dhaliwal,faqid.dhaliwal646@gmail.com,6851604817,Delhi,North Province,India,496513,Occasional,2024-07-27,False
1057,Urishilla,Bakshi,urishilla.bakshi528@hotmail.com,5931746120,Noida,North Province,India,471138,Regular,2023-03-13,False
1058,Krishna,Rama,krishna.rama301@yahoo.com,08692617964,Jaipur,North Province,India,537735,Regular,2024-01-27,True
1059,Hardik,Pillai,hardik.pillai551@hotmail.com,5064317139,Goa,West Province,India,053293,Regular,2025-09-01,True
1060,Ekapad,Johal,ekapad.johal971@hotmail.com,+913529042284,Nagpur,West Province,India,102053,Occasional,2022-08-01,True
1061,Ekiya,Babu,ekiya.babu169@gmail.com,00268117758,Gurugram,North Province,India,783908,Regular,2025-02-07,True
1062,Charvi,Shanker,charvi.shanker659@hotmail.com,+910766177115,Pune,West Province,India,124998,Occasional,2025-11-08,True
1063,Ekta,Raj,ekta.raj659@hotmail.com,4789611836,Mumbai,West Province,India,365766,Regular,2022-07-09,True
1064,Girish,Munshi,girish.munshi143@yahoo.com,04527111161,Lucknow,North Province,India,280988,Premium,2026-04-29,True
1065,Forum,Das,forum.das447@yahoo.com,06049451983,Ranchi,East Province,India,731585,Premium,2025-12-16,True
1066,Ishwar,Mallick,ishwar.mallick864@hotmail.com,+916899809402,Coimbatore,South Province,India,455022,Regular,2022-03-15,True
1067,Nandini,Boase,nandini.boase325@gmail.com,0183667525,Bhubaneswar,East Province,India,599102,Regular,2022-03-27,False
1068,Nakul,Bawa,nakul.bawa708@hotmail.com,+914767976438,Lucknow,North Province,India,561497,Regular,2023-03-07,True
1069,Darika,Bath,darika.bath777@gmail.com,09003432445,Jabalpur,Central Province,India,076226,Regular,2025-06-25,False
1070,Victor,Tella,victor.tella35@hotmail.com,5160607159,Chennai,South Province,India,966416,Regular,2024-04-24,False
1071,Ansh,Nair,ansh.nair840@gmail.com,7516136968,Siliguri,East Province,India,645352,Regular,2026-02-14,True
1072,Faraj,Uppal,faraj.uppal889@hotmail.com,+918835523124,Chandigarh,North Province,India,292127,Premium,2022-03-21,True
1073,Ucchal,Sen,ucchal.sen850@hotmail.com,9552717744,Patna,East Province,India,581477,VIP,2023-09-18,True
1074,Baljiwan,Bhandari,invalid_user_at_domain_com,01199867980,Gurugram,North Province,India,935978,Regular,2023-01-31,True
1075,Matthew,Bhatia,matthew.bhatia531@yahoo.com,+915182037788,Ahmedabad,West Province,India,554665,Regular,2025-08-06,False
1076,Charles,Natt,charles.natt128@gmail.com,01864492519,Raipur,Central Province,India,546291,Occasional,2022-02-26,True
1077,Dayita,Puri,dayita.puri121@hotmail.com,02816850542,Raipur,Central Province,India,573322,Premium,2022-03-20,True
1078,Faras,Merchant,faras.merchant533@gmail.com,8805929622,Surat,West Province,India,927065,Regular,2025-05-26,True
1079,Wazir,Sawhney,wazir.sawhney735@hotmail.com,07383473597,Hyderabad,South Province,India,468862,Regular,2022-04-01,True
1080,Ryan,Devi,ryan.devi972@yahoo.com,+917581814124,Ujjain,Central Province,India,826137,VIP,2026-01-13,True
1081,Ikshita,Bala,ikshita.bala981@yahoo.com,+916853615305,Surat,West Province,India,522047,Premium,2022-05-24,True
1082,Liam,Singh,liam.singh747@yahoo.com,0104328986,Nagpur,West Province,India,434103,Occasional,2022-09-13,True
1083,Oni,Shankar,oni.shankar723@gmail.com,+917980893246,Patna,East Province,India,953962,Regular,2024-04-04,True
1084,Frederick,Viswanathan,frederick.viswanathan703@yahoo.com,+918888806706,Siliguri,East Province,India,405153,VIP,2024-02-16,True
1085,Hemang,Natarajan,hemang.natarajan571@gmail.com,+915852772217,Raipur,Central Province,India,430305,Corporate,2024-04-11,True
1086,Dayita,Varma,dayita.varma603@yahoo.com,7403450541,Kochi,South Province,India,667652,Premium,2026-05-29,True
1087,Watika,Tank,watika.tank228@yahoo.com,4161692845,Guwahati,East Province,India,154479,Premium,2025-10-15,True
1088,Pooja,Ganesan,pooja.ganesan300@hotmail.com,05705964016,Mysuru,South Province,India,820297,Premium,2022-06-23,True
1089,Bakhshi,Date,bakhshi.date250@gmail.com,+915569092755,Mumbai,West Province,India,192856,Premium,2026-03-19,True
1090,Dipta,Mallick,dipta.mallick57@gmail.com,+910278681447,Chennai,South Province,India,947312,Regular,2022-02-20,True
1091,Ethan,Seth,ethan.seth917@gmail.com,7155188442,Chandigarh,North Province,India,583132,Premium,2024-04-28,True
1092,Warjas,Tak,warjas.tak259@gmail.com,08957829114,Guwahati,East Province,India,786691,Regular,2024-03-29,True
1093,Jeremiah,Nadig,jeremiah.nadig190@hotmail.com,+917785289226,Chandigarh,North Province,India,182422,Corporate,2023-03-25,True
1094,Ekantika,Kar,ekantika.kar265@yahoo.com,4143842498,Kolkata,East Province,India,829922,Occasional,2025-02-15,True
1095,Geetika,Barman,geetika.barman553@gmail.com,+910943969078,Kochi,South Province,India,473647,Occasional,2025-09-29,True
